city, lat, long
Copenhagen,	55.67594, 12.56553
Odense,	55.39594, 10.38831
Frederiksberg,	55.67938, 12.53463
Aalborg,	57.048, 9.9187
Århus,	56.15674, 10.21076
Esbjerg,	55.47028, 8.45187
Horsens,	55.86066, 9.85034
Randers,	56.4607, 10.03639
Kolding,	55.4904, 9.47216
Vejle,	55.70927, 9.5357
Frederiksberg,	55.41618, 11.56934
Hvidovre,	55.65719, 12.47364
Greve,	55.58333, 12.3
Herning,	56.13615, 8.97662
Roskilde,	55.64152, 12.08035
Silkeborg,	56.1697, 9.54508
Næstved,	55.22992, 11.76092
Ballerup,	55.73165, 12.36328
Charlottenlund,	55.75238, 12.5745
Vanløse,	55.68361, 12.48713