Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QA","Live Animals","4","Algeria","5111","Stocks","866","Cattle","2018","2018","Head","1813192","","Official data"
"QA","Live Animals","7","Angola","5111","Stocks","866","Cattle","2018","2018","Head","5044019","Im","FAO data based on imputation methodology"
"QA","Live Animals","53","Benin","5111","Stocks","866","Cattle","2018","2018","Head","2462000","","Official data"
"QA","Live Animals","20","Botswana","5111","Stocks","866","Cattle","2018","2018","Head","1448180","Im","FAO data based on imputation methodology"
"QA","Live Animals","233","Burkina Faso","5111","Stocks","866","Cattle","2018","2018","Head","9788225","Im","FAO data based on imputation methodology"
"QA","Live Animals","29","Burundi","5111","Stocks","866","Cattle","2018","2018","Head","1110936","","Official data"
"QA","Live Animals","35","Cabo Verde","5111","Stocks","866","Cattle","2018","2018","Head","29558","","Official data"
"QA","Live Animals","32","Cameroon","5111","Stocks","866","Cattle","2018","2018","Head","5737585","Im","FAO data based on imputation methodology"
"QA","Live Animals","37","Central African Republic","5111","Stocks","866","Cattle","2018","2018","Head","4679519","Im","FAO data based on imputation methodology"
"QA","Live Animals","39","Chad","5111","Stocks","866","Cattle","2018","2018","Head","29063152","Im","FAO data based on imputation methodology"
"QA","Live Animals","45","Comoros","5111","Stocks","866","Cattle","2018","2018","Head","50797","Im","FAO data based on imputation methodology"
"QA","Live Animals","46","Congo","5111","Stocks","866","Cattle","2018","2018","Head","364343","Im","FAO data based on imputation methodology"
"QA","Live Animals","107","Côte d'Ivoire","5111","Stocks","866","Cattle","2018","2018","Head","1669694","Im","FAO data based on imputation methodology"
"QA","Live Animals","250","Democratic Republic of the Congo","5111","Stocks","866","Cattle","2018","2018","Head","1037536","Im","FAO data based on imputation methodology"
"QA","Live Animals","72","Djibouti","5111","Stocks","866","Cattle","2018","2018","Head","300870","Im","FAO data based on imputation methodology"
"QA","Live Animals","59","Egypt","5111","Stocks","866","Cattle","2018","2018","Head","4516584","Im","FAO data based on imputation methodology"
"QA","Live Animals","61","Equatorial Guinea","5111","Stocks","866","Cattle","2018","2018","Head","5397","Im","FAO data based on imputation methodology"
"QA","Live Animals","178","Eritrea","5111","Stocks","866","Cattle","2018","2018","Head","2129963","Im","FAO data based on imputation methodology"
"QA","Live Animals","209","Eswatini","5111","Stocks","866","Cattle","2018","2018","Head","615902","Im","FAO data based on imputation methodology"
"QA","Live Animals","238","Ethiopia","5111","Stocks","866","Cattle","2018","2018","Head","62599736","Im","FAO data based on imputation methodology"
"QA","Live Animals","74","Gabon","5111","Stocks","866","Cattle","2018","2018","Head","38145","Im","FAO data based on imputation methodology"
"QA","Live Animals","75","Gambia","5111","Stocks","866","Cattle","2018","2018","Head","464283","Im","FAO data based on imputation methodology"
"QA","Live Animals","81","Ghana","5111","Stocks","866","Cattle","2018","2018","Head","1879009","Im","FAO data based on imputation methodology"
"QA","Live Animals","90","Guinea","5111","Stocks","866","Cattle","2018","2018","Head","7520274","","Official data"
"QA","Live Animals","175","Guinea-Bissau","5111","Stocks","866","Cattle","2018","2018","Head","733686","Im","FAO data based on imputation methodology"
"QA","Live Animals","114","Kenya","5111","Stocks","866","Cattle","2018","2018","Head","19635142","","Official data"
"QA","Live Animals","122","Lesotho","5111","Stocks","866","Cattle","2018","2018","Head","496238","Im","FAO data based on imputation methodology"
"QA","Live Animals","123","Liberia","5111","Stocks","866","Cattle","2018","2018","Head","44891","Im","FAO data based on imputation methodology"
"QA","Live Animals","124","Libya","5111","Stocks","866","Cattle","2018","2018","Head","216101","Im","FAO data based on imputation methodology"
"QA","Live Animals","129","Madagascar","5111","Stocks","866","Cattle","2018","2018","Head","10329790","Im","FAO data based on imputation methodology"
"QA","Live Animals","130","Malawi","5111","Stocks","866","Cattle","2018","2018","Head","1655517","","Official data"
"QA","Live Animals","133","Mali","5111","Stocks","866","Cattle","2018","2018","Head","11758377","","Official data"
"QA","Live Animals","136","Mauritania","5111","Stocks","866","Cattle","2018","2018","Head","1912564","Im","FAO data based on imputation methodology"
"QA","Live Animals","137","Mauritius","5111","Stocks","866","Cattle","2018","2018","Head","3985","","Official data"
"QA","Live Animals","143","Morocco","5111","Stocks","866","Cattle","2018","2018","Head","3441000","","Official data"
"QA","Live Animals","144","Mozambique","5111","Stocks","866","Cattle","2018","2018","Head","2020189","","Official data"
"QA","Live Animals","147","Namibia","5111","Stocks","866","Cattle","2018","2018","Head","2897115","Im","FAO data based on imputation methodology"
"QA","Live Animals","158","Niger","5111","Stocks","866","Cattle","2018","2018","Head","14363595","","Official data"
"QA","Live Animals","159","Nigeria","5111","Stocks","866","Cattle","2018","2018","Head","21418189","Im","FAO data based on imputation methodology"
"QA","Live Animals","182","Réunion","5111","Stocks","866","Cattle","2018","2018","Head","31000","Im","FAO data based on imputation methodology"
"QA","Live Animals","184","Rwanda","5111","Stocks","866","Cattle","2018","2018","Head","1293768","","Official data"
"QA","Live Animals","187","Saint Helena, Ascension and Tristan da Cunha","5111","Stocks","866","Cattle","2018","2018","Head","665","Im","FAO data based on imputation methodology"
"QA","Live Animals","193","Sao Tome and Principe","5111","Stocks","866","Cattle","2018","2018","Head","1407","","Official data"
"QA","Live Animals","195","Senegal","5111","Stocks","866","Cattle","2018","2018","Head","3615523","Im","FAO data based on imputation methodology"
"QA","Live Animals","196","Seychelles","5111","Stocks","866","Cattle","2018","2018","Head","261","Im","FAO data based on imputation methodology"
"QA","Live Animals","197","Sierra Leone","5111","Stocks","866","Cattle","2018","2018","Head","702303","Im","FAO data based on imputation methodology"
"QA","Live Animals","201","Somalia","5111","Stocks","866","Cattle","2018","2018","Head","4749973","Im","FAO data based on imputation methodology"
"QA","Live Animals","202","South Africa","5111","Stocks","866","Cattle","2018","2018","Head","12789515","","Official data"
"QA","Live Animals","277","South Sudan","5111","Stocks","866","Cattle","2018","2018","Head","12074116","","Official data"
"QA","Live Animals","276","Sudan","5111","Stocks","866","Cattle","2018","2018","Head","31223000","","Official data"
"QA","Live Animals","217","Togo","5111","Stocks","866","Cattle","2018","2018","Head","453088","","Official data"
"QA","Live Animals","222","Tunisia","5111","Stocks","866","Cattle","2018","2018","Head","649690","Im","FAO data based on imputation methodology"
"QA","Live Animals","226","Uganda","5111","Stocks","866","Cattle","2018","2018","Head","15767794","Im","FAO data based on imputation methodology"
"QA","Live Animals","215","United Republic of Tanzania","5111","Stocks","866","Cattle","2018","2018","Head","27427658","Im","FAO data based on imputation methodology"
"QA","Live Animals","205","Western Sahara","5111","Stocks","866","Cattle","2018","2018","Head","","M","Data not available"
"QA","Live Animals","251","Zambia","5111","Stocks","866","Cattle","2018","2018","Head","4172422","Im","FAO data based on imputation methodology"
"QA","Live Animals","181","Zimbabwe","5111","Stocks","866","Cattle","2018","2018","Head","5446674","Im","FAO data based on imputation methodology"
