antibiotic,mm
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,7
Cefoxitin,7
Cefoxitin,7
Cefoxitin,7
Cefoxitin,7
Cefoxitin,7
Cefoxitin,7
Cefoxitin,7
Cefoxitin,7
Cefoxitin,7
Cefoxitin,7
Cefoxitin,7
Cefoxitin,7
Cefoxitin,8
Cefoxitin,8
Cefoxitin,8
Cefoxitin,8
Cefoxitin,8
Cefoxitin,8
Cefoxitin,8
Cefoxitin,8
Cefoxitin,8
Cefoxitin,8
Cefoxitin,8
Cefoxitin,8
Cefoxitin,8
Cefoxitin,8
Cefoxitin,8
Cefoxitin,8
Cefoxitin,8
Cefoxitin,8
Cefoxitin,8
Cefoxitin,8
Cefoxitin,8
Cefoxitin,8
Cefoxitin,8
Cefoxitin,8
Cefoxitin,8
Cefoxitin,8
Cefoxitin,8
Cefoxitin,8
Cefoxitin,8
Cefoxitin,8
Cefoxitin,8
Cefoxitin,8
Cefoxitin,8
Cefoxitin,8
Cefoxitin,8
Cefoxitin,8
Cefoxitin,8
Cefoxitin,8
Cefoxitin,8
Cefoxitin,8
Cefoxitin,8
Cefoxitin,8
Cefoxitin,8
Cefoxitin,9
Cefoxitin,9
Cefoxitin,9
Cefoxitin,9
Cefoxitin,9
Cefoxitin,9
Cefoxitin,9
Cefoxitin,9
Cefoxitin,9
Cefoxitin,9
Cefoxitin,9
Cefoxitin,9
Cefoxitin,9
Cefoxitin,9
Cefoxitin,9
Cefoxitin,9
Cefoxitin,9
Cefoxitin,9
Cefoxitin,9
Cefoxitin,9
Cefoxitin,9
Cefoxitin,9
Cefoxitin,9
Cefoxitin,9
Cefoxitin,9
Cefoxitin,9
Cefoxitin,9
Cefoxitin,9
Cefoxitin,9
Cefoxitin,9
Cefoxitin,9
Cefoxitin,9
Cefoxitin,9
Cefoxitin,9
Cefoxitin,9
Cefoxitin,9
Cefoxitin,9
Cefoxitin,9
Cefoxitin,9
Cefoxitin,9
Cefoxitin,9
Cefoxitin,9
Cefoxitin,9
Cefoxitin,10
Cefoxitin,10
Cefoxitin,10
Cefoxitin,10
Cefoxitin,10
Cefoxitin,10
Cefoxitin,10
Cefoxitin,10
Cefoxitin,10
Cefoxitin,10
Cefoxitin,10
Cefoxitin,10
Cefoxitin,10
Cefoxitin,10
Cefoxitin,10
Cefoxitin,10
Cefoxitin,10
Cefoxitin,10
Cefoxitin,10
Cefoxitin,10
Cefoxitin,10
Cefoxitin,10
Cefoxitin,10
Cefoxitin,10
Cefoxitin,10
Cefoxitin,10
Cefoxitin,10
Cefoxitin,10
Cefoxitin,10
Cefoxitin,10
Cefoxitin,10
Cefoxitin,10
Cefoxitin,10
Cefoxitin,10
Cefoxitin,10
Cefoxitin,10
Cefoxitin,10
Cefoxitin,10
Cefoxitin,10
Cefoxitin,10
Cefoxitin,10
Cefoxitin,10
Cefoxitin,10
Cefoxitin,10
Cefoxitin,10
Cefoxitin,10
Cefoxitin,10
Cefoxitin,10
Cefoxitin,10
Cefoxitin,10
Cefoxitin,10
Cefoxitin,10
Cefoxitin,10
Cefoxitin,10
Cefoxitin,10
Cefoxitin,10
Cefoxitin,10
Cefoxitin,10
Cefoxitin,10
Cefoxitin,10
Cefoxitin,11
Cefoxitin,11
Cefoxitin,11
Cefoxitin,11
Cefoxitin,11
Cefoxitin,11
Cefoxitin,11
Cefoxitin,11
Cefoxitin,11
Cefoxitin,11
Cefoxitin,11
Cefoxitin,11
Cefoxitin,11
Cefoxitin,11
Cefoxitin,11
Cefoxitin,11
Cefoxitin,11
Cefoxitin,11
Cefoxitin,11
Cefoxitin,11
Cefoxitin,11
Cefoxitin,11
Cefoxitin,11
Cefoxitin,11
Cefoxitin,11
Cefoxitin,11
Cefoxitin,11
Cefoxitin,11
Cefoxitin,11
Cefoxitin,11
Cefoxitin,11
Cefoxitin,11
Cefoxitin,11
Cefoxitin,11
Cefoxitin,11
Cefoxitin,11
Cefoxitin,11
Cefoxitin,11
Cefoxitin,11
Cefoxitin,11
Cefoxitin,11
Cefoxitin,11
Cefoxitin,11
Cefoxitin,11
Cefoxitin,11
Cefoxitin,11
Cefoxitin,11
Cefoxitin,11
Cefoxitin,11
Cefoxitin,11
Cefoxitin,11
Cefoxitin,11
Cefoxitin,11
Cefoxitin,11
Cefoxitin,11
Cefoxitin,11
Cefoxitin,11
Cefoxitin,11
Cefoxitin,11
Cefoxitin,11
Cefoxitin,11
Cefoxitin,11
Cefoxitin,11
Cefoxitin,11
Cefoxitin,11
Cefoxitin,11
Cefoxitin,11
Cefoxitin,11
Cefoxitin,11
Cefoxitin,11
Cefoxitin,11
Cefoxitin,11
Cefoxitin,11
Cefoxitin,11
Cefoxitin,11
Cefoxitin,11
Cefoxitin,11
Cefoxitin,11
Cefoxitin,11
Cefoxitin,11
Cefoxitin,11
Cefoxitin,11
Cefoxitin,11
Cefoxitin,11
Cefoxitin,11
Cefoxitin,11
Cefoxitin,12
Cefoxitin,12
Cefoxitin,12
Cefoxitin,12
Cefoxitin,12
Cefoxitin,12
Cefoxitin,12
Cefoxitin,12
Cefoxitin,12
Cefoxitin,12
Cefoxitin,12
Cefoxitin,12
Cefoxitin,12
Cefoxitin,12
Cefoxitin,12
Cefoxitin,12
Cefoxitin,12
Cefoxitin,12
Cefoxitin,12
Cefoxitin,12
Cefoxitin,12
Cefoxitin,12
Cefoxitin,12
Cefoxitin,12
Cefoxitin,12
Cefoxitin,12
Cefoxitin,12
Cefoxitin,12
Cefoxitin,12
Cefoxitin,12
Cefoxitin,12
Cefoxitin,12
Cefoxitin,12
Cefoxitin,12
Cefoxitin,12
Cefoxitin,12
Cefoxitin,12
Cefoxitin,12
Cefoxitin,12
Cefoxitin,12
Cefoxitin,12
Cefoxitin,12
Cefoxitin,12
Cefoxitin,12
Cefoxitin,12
Cefoxitin,12
Cefoxitin,12
Cefoxitin,12
Cefoxitin,12
Cefoxitin,12
Cefoxitin,12
Cefoxitin,12
Cefoxitin,12
Cefoxitin,12
Cefoxitin,12
Cefoxitin,12
Cefoxitin,12
Cefoxitin,12
Cefoxitin,12
Cefoxitin,12
Cefoxitin,12
Cefoxitin,12
Cefoxitin,12
Cefoxitin,12
Cefoxitin,12
Cefoxitin,12
Cefoxitin,12
Cefoxitin,12
Cefoxitin,12
Cefoxitin,12
Cefoxitin,12
Cefoxitin,12
Cefoxitin,12
Cefoxitin,12
Cefoxitin,12
Cefoxitin,12
Cefoxitin,12
Cefoxitin,12
Cefoxitin,12
Cefoxitin,12
Cefoxitin,12
Cefoxitin,12
Cefoxitin,12
Cefoxitin,12
Cefoxitin,12
Cefoxitin,12
Cefoxitin,12
Cefoxitin,12
Cefoxitin,12
Cefoxitin,12
Cefoxitin,12
Cefoxitin,12
Cefoxitin,12
Cefoxitin,12
Cefoxitin,12
Cefoxitin,12
Cefoxitin,12
Cefoxitin,12
Cefoxitin,12
Cefoxitin,12
Cefoxitin,12
Cefoxitin,13
Cefoxitin,13
Cefoxitin,13
Cefoxitin,13
Cefoxitin,13
Cefoxitin,13
Cefoxitin,13
Cefoxitin,13
Cefoxitin,13
Cefoxitin,13
Cefoxitin,13
Cefoxitin,13
Cefoxitin,13
Cefoxitin,13
Cefoxitin,13
Cefoxitin,13
Cefoxitin,13
Cefoxitin,13
Cefoxitin,13
Cefoxitin,13
Cefoxitin,13
Cefoxitin,13
Cefoxitin,13
Cefoxitin,13
Cefoxitin,13
Cefoxitin,13
Cefoxitin,13
Cefoxitin,13
Cefoxitin,13
Cefoxitin,13
Cefoxitin,13
Cefoxitin,13
Cefoxitin,13
Cefoxitin,13
Cefoxitin,13
Cefoxitin,13
Cefoxitin,13
Cefoxitin,13
Cefoxitin,13
Cefoxitin,13
Cefoxitin,13
Cefoxitin,13
Cefoxitin,13
Cefoxitin,13
Cefoxitin,13
Cefoxitin,13
Cefoxitin,13
Cefoxitin,13
Cefoxitin,13
Cefoxitin,13
Cefoxitin,13
Cefoxitin,13
Cefoxitin,13
Cefoxitin,13
Cefoxitin,13
Cefoxitin,13
Cefoxitin,13
Cefoxitin,13
Cefoxitin,13
Cefoxitin,13
Cefoxitin,13
Cefoxitin,13
Cefoxitin,13
Cefoxitin,13
Cefoxitin,13
Cefoxitin,13
Cefoxitin,13
Cefoxitin,13
Cefoxitin,13
Cefoxitin,13
Cefoxitin,13
Cefoxitin,13
Cefoxitin,13
Cefoxitin,13
Cefoxitin,13
Cefoxitin,13
Cefoxitin,13
Cefoxitin,13
Cefoxitin,13
Cefoxitin,13
Cefoxitin,13
Cefoxitin,13
Cefoxitin,13
Cefoxitin,13
Cefoxitin,14
Cefoxitin,14
Cefoxitin,14
Cefoxitin,14
Cefoxitin,14
Cefoxitin,14
Cefoxitin,14
Cefoxitin,14
Cefoxitin,14
Cefoxitin,14
Cefoxitin,14
Cefoxitin,14
Cefoxitin,14
Cefoxitin,14
Cefoxitin,14
Cefoxitin,14
Cefoxitin,14
Cefoxitin,14
Cefoxitin,14
Cefoxitin,14
Cefoxitin,14
Cefoxitin,14
Cefoxitin,14
Cefoxitin,14
Cefoxitin,14
Cefoxitin,14
Cefoxitin,14
Cefoxitin,14
Cefoxitin,14
Cefoxitin,14
Cefoxitin,14
Cefoxitin,14
Cefoxitin,14
Cefoxitin,14
Cefoxitin,14
Cefoxitin,14
Cefoxitin,14
Cefoxitin,14
Cefoxitin,14
Cefoxitin,14
Cefoxitin,14
Cefoxitin,14
Cefoxitin,14
Cefoxitin,14
Cefoxitin,14
Cefoxitin,14
Cefoxitin,14
Cefoxitin,14
Cefoxitin,14
Cefoxitin,14
Cefoxitin,14
Cefoxitin,14
Cefoxitin,14
Cefoxitin,14
Cefoxitin,14
Cefoxitin,14
Cefoxitin,14
Cefoxitin,14
Cefoxitin,14
Cefoxitin,14
Cefoxitin,14
Cefoxitin,14
Cefoxitin,14
Cefoxitin,14
Cefoxitin,14
Cefoxitin,14
Cefoxitin,14
Cefoxitin,14
Cefoxitin,14
Cefoxitin,14
Cefoxitin,14
Cefoxitin,14
Cefoxitin,14
Cefoxitin,14
Cefoxitin,14
Cefoxitin,14
Cefoxitin,14
Cefoxitin,14
Cefoxitin,14
Cefoxitin,14
Cefoxitin,14
Cefoxitin,14
Cefoxitin,14
Cefoxitin,14
Cefoxitin,14
Cefoxitin,14
Cefoxitin,14
Cefoxitin,14
Cefoxitin,15
Cefoxitin,15
Cefoxitin,15
Cefoxitin,15
Cefoxitin,15
Cefoxitin,15
Cefoxitin,15
Cefoxitin,15
Cefoxitin,15
Cefoxitin,15
Cefoxitin,15
Cefoxitin,15
Cefoxitin,15
Cefoxitin,15
Cefoxitin,15
Cefoxitin,15
Cefoxitin,15
Cefoxitin,15
Cefoxitin,15
Cefoxitin,15
Cefoxitin,15
Cefoxitin,15
Cefoxitin,15
Cefoxitin,15
Cefoxitin,15
Cefoxitin,15
Cefoxitin,15
Cefoxitin,15
Cefoxitin,15
Cefoxitin,15
Cefoxitin,15
Cefoxitin,15
Cefoxitin,15
Cefoxitin,15
Cefoxitin,15
Cefoxitin,15
Cefoxitin,15
Cefoxitin,15
Cefoxitin,15
Cefoxitin,15
Cefoxitin,15
Cefoxitin,15
Cefoxitin,15
Cefoxitin,15
Cefoxitin,15
Cefoxitin,15
Cefoxitin,15
Cefoxitin,15
Cefoxitin,15
Cefoxitin,15
Cefoxitin,15
Cefoxitin,15
Cefoxitin,15
Cefoxitin,15
Cefoxitin,15
Cefoxitin,15
Cefoxitin,15
Cefoxitin,15
Cefoxitin,15
Cefoxitin,15
Cefoxitin,15
Cefoxitin,15
Cefoxitin,15
Cefoxitin,15
Cefoxitin,15
Cefoxitin,15
Cefoxitin,15
Cefoxitin,16
Cefoxitin,16
Cefoxitin,16
Cefoxitin,16
Cefoxitin,16
Cefoxitin,16
Cefoxitin,16
Cefoxitin,16
Cefoxitin,16
Cefoxitin,16
Cefoxitin,16
Cefoxitin,16
Cefoxitin,16
Cefoxitin,16
Cefoxitin,16
Cefoxitin,16
Cefoxitin,16
Cefoxitin,16
Cefoxitin,16
Cefoxitin,16
Cefoxitin,16
Cefoxitin,16
Cefoxitin,16
Cefoxitin,16
Cefoxitin,16
Cefoxitin,16
Cefoxitin,16
Cefoxitin,16
Cefoxitin,16
Cefoxitin,16
Cefoxitin,16
Cefoxitin,16
Cefoxitin,16
Cefoxitin,16
Cefoxitin,16
Cefoxitin,16
Cefoxitin,16
Cefoxitin,16
Cefoxitin,16
Cefoxitin,16
Cefoxitin,16
Cefoxitin,16
Cefoxitin,16
Cefoxitin,16
Cefoxitin,16
Cefoxitin,16
Cefoxitin,16
Cefoxitin,16
Cefoxitin,16
Cefoxitin,16
Cefoxitin,16
Cefoxitin,16
Cefoxitin,16
Cefoxitin,16
Cefoxitin,16
Cefoxitin,16
Cefoxitin,17
Cefoxitin,17
Cefoxitin,17
Cefoxitin,17
Cefoxitin,17
Cefoxitin,17
Cefoxitin,17
Cefoxitin,17
Cefoxitin,17
Cefoxitin,17
Cefoxitin,17
Cefoxitin,17
Cefoxitin,17
Cefoxitin,17
Cefoxitin,17
Cefoxitin,17
Cefoxitin,17
Cefoxitin,17
Cefoxitin,17
Cefoxitin,17
Cefoxitin,17
Cefoxitin,17
Cefoxitin,17
Cefoxitin,17
Cefoxitin,17
Cefoxitin,17
Cefoxitin,17
Cefoxitin,17
Cefoxitin,17
Cefoxitin,18
Cefoxitin,18
Cefoxitin,18
Cefoxitin,18
Cefoxitin,18
Cefoxitin,18
Cefoxitin,18
Cefoxitin,18
Cefoxitin,18
Cefoxitin,18
Cefoxitin,18
Cefoxitin,18
Cefoxitin,18
Cefoxitin,18
Cefoxitin,18
Cefoxitin,18
Cefoxitin,18
Cefoxitin,18
Cefoxitin,19
Cefoxitin,19
Cefoxitin,19
Cefoxitin,19
Cefoxitin,19
Cefoxitin,19
Cefoxitin,19
Cefoxitin,19
Cefoxitin,19
Cefoxitin,19
Cefoxitin,19
Cefoxitin,19
Cefoxitin,19
Cefoxitin,20
Cefoxitin,21
Cefoxitin,21
Cefoxitin,21
Cefoxitin,23
Cefoxitin,27
Cefoxitin,28
Cefoxitin,28
Rifampicin,6
Rifampicin,6
Rifampicin,6
Rifampicin,6
Rifampicin,16
Rifampicin,17
Rifampicin,17
Rifampicin,17
Rifampicin,19
Rifampicin,22
Rifampicin,28
Rifampicin,28
Rifampicin,28
Rifampicin,28
Rifampicin,28
Rifampicin,28
Rifampicin,28
Rifampicin,29
Rifampicin,29
Rifampicin,29
Rifampicin,29
Rifampicin,29
Rifampicin,29
Rifampicin,29
Rifampicin,29
Rifampicin,29
Rifampicin,29
Rifampicin,29
Rifampicin,29
Rifampicin,30
Rifampicin,30
Rifampicin,30
Rifampicin,30
Rifampicin,30
Rifampicin,30
Rifampicin,30
Rifampicin,30
Rifampicin,30
Rifampicin,30
Rifampicin,30
Rifampicin,30
Rifampicin,30
Rifampicin,30
Rifampicin,30
Rifampicin,30
Rifampicin,30
Rifampicin,30
Rifampicin,30
Rifampicin,30
Rifampicin,30
Rifampicin,30
Rifampicin,31
Rifampicin,31
Rifampicin,31
Rifampicin,31
Rifampicin,31
Rifampicin,31
Rifampicin,31
Rifampicin,31
Rifampicin,31
Rifampicin,31
Rifampicin,31
Rifampicin,31
Rifampicin,31
Rifampicin,31
Rifampicin,31
Rifampicin,31
Rifampicin,31
Rifampicin,31
Rifampicin,31
Rifampicin,31
Rifampicin,31
Rifampicin,31
Rifampicin,31
Rifampicin,31
Rifampicin,31
Rifampicin,31
Rifampicin,31
Rifampicin,32
Rifampicin,32
Rifampicin,32
Rifampicin,32
Rifampicin,32
Rifampicin,32
Rifampicin,32
Rifampicin,32
Rifampicin,32
Rifampicin,32
Rifampicin,32
Rifampicin,32
Rifampicin,32
Rifampicin,32
Rifampicin,32
Rifampicin,32
Rifampicin,32
Rifampicin,32
Rifampicin,32
Rifampicin,32
Rifampicin,32
Rifampicin,32
Rifampicin,32
Rifampicin,32
Rifampicin,32
Rifampicin,32
Rifampicin,32
Rifampicin,32
Rifampicin,32
Rifampicin,32
Rifampicin,32
Rifampicin,32
Rifampicin,32
Rifampicin,32
Rifampicin,32
Rifampicin,32
Rifampicin,32
Rifampicin,32
Rifampicin,32
Rifampicin,32
Rifampicin,32
Rifampicin,32
Rifampicin,33
Rifampicin,33
Rifampicin,33
Rifampicin,33
Rifampicin,33
Rifampicin,33
Rifampicin,33
Rifampicin,33
Rifampicin,33
Rifampicin,33
Rifampicin,33
Rifampicin,33
Rifampicin,33
Rifampicin,33
Rifampicin,33
Rifampicin,33
Rifampicin,33
Rifampicin,33
Rifampicin,33
Rifampicin,34
Rifampicin,34
Rifampicin,34
Rifampicin,34
Rifampicin,34
Rifampicin,34
Rifampicin,34
Rifampicin,34
Rifampicin,34
Rifampicin,34
Rifampicin,34
Rifampicin,34
Rifampicin,35
Rifampicin,35
Rifampicin,35
Rifampicin,36
Rifampicin,36
Rifampicin,36
Rifampicin,37
Rifampicin,37
Rifampicin,37
Rifampicin,38
Rifampicin,40
